Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

3288	2616	AVGIDSMonitor.e	0x5b1f020	3	35	0	False	2009-12-05 01:47:34.000000 UTC	N/A	Disabled
2784	880	msmsgs.exe	0x5b3cda0	3	189	0	False	2009-12-05 01:47:27.000000 UTC	N/A	Disabled
2628	880	jusched.exe	0x5b3e580	1	112	0	False	2009-12-05 01:47:25.000000 UTC	N/A	Disabled
2596	880	hkcmd.exe	0x5b3e800	2	102	0	False	2009-12-05 01:47:24.000000 UTC	N/A	Disabled
3416	2724	BRNIPMON.exe	0x5b41da0	1	51	0	False	2009-12-05 01:47:34.000000 UTC	N/A	Disabled
2904	2244	avgcsrvx.exe	0x5b53438	5	151	0	False	2009-12-05 01:47:30.000000 UTC	N/A	Disabled
2616	880	avgtray.exe	0x5b61da0	18	309	0	False	2009-12-05 01:47:24.000000 UTC	N/A	Disabled
2828	880	ctfmon.exe	0x5b6a470	1	71	0	False	2009-12-05 01:47:28.000000 UTC	N/A	Disabled
2400	1884	avgcsrvx.exe	0x5bb0da0	3	115	0	False	2009-12-05 01:47:23.000000 UTC	N/A	Disabled
2244	1784	avgnsx.exe	0x5bbb948	21	299	0	False	2009-12-05 01:47:22.000000 UTC	N/A	Disabled
2180	1784	avgam.exe	0x5bc5da0	15	291	0	False	2009-12-05 01:47:21.000000 UTC	N/A	Disabled
1884	988	avgemc.exe	0x5bcbbe0	21	599	0	False	2009-12-05 01:47:20.000000 UTC	N/A	Disabled
3748	2628	jucheck.exe	0x5bd13d0	5	266	0	False	2009-12-05 01:52:26.000000 UTC	N/A	Disabled
3708	2872	jo.exe	0x5c6db28	1	22	0	False	2009-12-05 18:29:02.000000 UTC	N/A	Disabled
1724	988	svchost.exe	0x5cc9630	4	105	0	False	2009-12-05 01:47:12.000000 UTC	N/A	Disabled
1896	988	jqs.exe	0x5ccca88	5	114	0	False	2009-12-05 01:47:13.000000 UTC	N/A	Disabled
1172	988	svchost.exe	0x5cde880	18	197	0	False	2009-12-05 01:46:54.000000 UTC	N/A	Disabled
1384	988	svchost.exe	0x5ce3458	86	1574	0	False	2009-12-05 01:46:54.000000 UTC	N/A	Disabled
1260	988	svchost.exe	0x5cf9550	9	264	0	False	2009-12-05 01:46:54.000000 UTC	N/A	Disabled
880	700	explorer.exe	0x5d039e0	14	466	0	False	2009-12-05 01:47:16.000000 UTC	N/A	Disabled
1448	988	svchost.exe	0x5d26020	5	77	0	False	2009-12-05 01:46:54.000000 UTC	N/A	Disabled
876	1784	avgsrmax.exe	0x5d643b0	0	-	0	False	2009-12-05 15:15:56.000000 UTC	2009-12-05 15:15:56.000000 UTC	Disabled
1560	944	avgchsvx.exe	0x6058550	21	273	0	False	2009-12-05 01:46:55.000000 UTC	N/A	Disabled
2040	988	AVGIDSAgent.exe	0x605c228	31	516	0	False	2009-12-05 01:46:57.000000 UTC	N/A	Disabled
1792	988	avgfws9.exe	0x607fda0	30	814	0	False	2009-12-05 01:47:12.000000 UTC	N/A	Disabled
2000	988	spoolsv.exe	0x609d2c0	14	144	0	False	2009-12-05 01:46:57.000000 UTC	N/A	Disabled
2724	880	BrStsWnd.exe	0x6107470	3	59	0	False	2009-12-05 01:47:26.000000 UTC	N/A	Disabled
1568	944	avgrsx.exe	0x6121c08	28	245	0	False	2009-12-05 01:46:55.000000 UTC	N/A	Disabled
1808	1568	avgcsrvx.exe	0x6146798	8	167	0	False	2009-12-05 01:46:56.000000 UTC	N/A	Disabled
1628	988	svchost.exe	0x614cd78	12	167	0	False	2009-12-05 01:46:55.000000 UTC	N/A	Disabled
988	944	services.exe	0x616c228	16	271	0	False	2009-12-05 01:46:53.000000 UTC	N/A	Disabled
1784	988	avgwdsvc.exe	0x6189020	43	1381	0	False	2009-12-05 01:47:12.000000 UTC	N/A	Disabled
2872	880	cmd.exe	0x61a9810	1	33	0	False	2009-12-05 02:33:50.000000 UTC	N/A	Disabled
3888	1784	avgcmgr.exe	0x626a5d8	0	-	0	False	2009-12-05 17:48:04.000000 UTC	2009-12-05 17:48:04.000000 UTC	Disabled
1668	988	alg.exe	0x6295b28	6	105	0	False	2009-12-05 01:47:39.000000 UTC	N/A	Disabled
1000	944	lsass.exe	0x62cb7f0	22	362	0	False	2009-12-05 01:46:53.000000 UTC	N/A	Disabled
944	824	winlogon.exe	0x62cfbe0	17	576	0	False	2009-12-05 01:46:53.000000 UTC	N/A	Disabled
920	824	csrss.exe	0x62d3438	12	656	0	False	2009-12-05 01:46:53.000000 UTC	N/A	Disabled
824	4	smss.exe	0x62d48b0	3	19	N/A	False	2009-12-05 01:46:52.000000 UTC	N/A	Disabled
4	0	System	0x63c69c8	66	516	N/A	False	N/A	N/A	Disabled
