Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x863c69c8	66	516	N/A	False	N/A	N/A	-	-	-
* 824	4	smss.exe	0x862d48b0	3	19	N/A	False	2009-12-05 01:46:52.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
** 920	824	csrss.exe	0x862d3438	12	656	0	False	2009-12-05 01:46:53.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\csrss.exe	C:\WINDOWS\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ProfileControl=Off MaxRequestThreads=16	\??\C:\WINDOWS\system32\csrss.exe
** 944	824	winlogon.exe	0x862cfbe0	17	576	0	False	2009-12-05 01:46:53.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\winlogon.exe	winlogon.exe	\??\C:\WINDOWS\system32\winlogon.exe
*** 1000	944	lsass.exe	0x862cb7f0	22	362	0	False	2009-12-05 01:46:53.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe
*** 1560	944	avgchsvx.exe	0x86058550	21	273	0	False	2009-12-05 01:46:55.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\AVG\AVG9\avgchsvx.exe	"C:\Program Files\AVG\AVG9\avgchsvx.exe"	C:\Program Files\AVG\AVG9\avgchsvx.exe
*** 1568	944	avgrsx.exe	0x86121c08	28	245	0	False	2009-12-05 01:46:55.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\AVG\AVG9\avgrsx.exe	"C:\Program Files\AVG\AVG9\avgrsx.exe"	C:\Program Files\AVG\AVG9\avgrsx.exe
**** 1808	1568	avgcsrvx.exe	0x86146798	8	167	0	False	2009-12-05 01:46:56.000000 UTC	N/A	\Device\HarddiskVolume1\Program Files\AVG\AVG9\avgcsrvx.exe	 /pipeName=1df41a96-8cd8-4ebb-8479-9f4b19acaf62 /coreSdkOptions=30 /logConfFile="C:\Documents and Settings\All Users\Application Data\avg9\temp\94887348-3a82-416e-9d1e-1d8a38bd379d-620-oopp.tmp" /loggerName=AVG.RS.Core /binaryPath="C:\Program Files\AVG\AVG9\" /tempPath="C:\Documents and Settings\All Users\Application Data\avg9\temp\"	C:\Program Files\AVG\AVG9\avgcsrvx.exe
*** 988	944	services.exe	0x8616c228	16	271	0	False	2009-12-05 01:46:53.000000 UTC	N/A	\Device\HarddiskVolume1\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
